ds,yhat,yhat_lower,yhat_upper
2018-01-01,12.8,12.8,12.8
2018-04-01,25.3,25.3,25.3
2018-07-01,38.3,38.3,38.3
2018-10-01,60.6,60.6,60.6
2019-01-01,66.0,66.0,66.0
2019-04-01,72.3,72.3,72.3
2019-07-01,86.4,86.4,86.4
2019-10-01,120.1,120.1,120.1
2020-01-01,259.9,259.9,259.9
2020-04-01,319.9,319.9,319.9
2020-07-01,461.6,461.6,461.6
2020-10-01,560.2,560.2,560.2
2021-01-01,707.0,707.0,707.0
2021-04-01,789.0,789.0,789.0
2021-07-01,1040.7,1040.7,1040.7
2021-10-01,1265.8,1265.8,1265.8
2022-01-01,1414.5,1414.5,1414.5
2022-04-01,1492.3,1492.3,1492.3
2022-07-01,1538.1,1538.1,1538.1
2022-10-01,1562.6,1562.6,1562.6
2023-01-01,858.6,858.6,858.6
2023-04-01,446.4,446.4,446.4
2023-07-01,360.8,360.8,360.8
2023-10-01,680.0,680.0,680.0
2024-01-01,924.3,924.3,924.3
2024-04-01,1089.8,1089.8,1089.8
2024-07-01,1167.2,1167.2,1167.2
2024-10-01,1206.2,1206.2,1206.2
2025-01-01,1251.0,1127.8,1371.2
2025-04-01,1476.9,1060.1,1903.4
2025-07-01,1401.0,634.4,2130.0
2025-10-01,1615.6,334.8,2783.8
